,speaker,Text,minutes,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
166,Lacey Rose,"Hollywood likes to sort of lock people in lanes. They want something, a specific thing from you. Most often it's because you've given it to them before. What are the things that you get approached for that you just say, oh, not this again.",15.3,"Hollywood likes to sort of lock people in lanes. They want something, a specific thing from you. Most often it's because you've given it to them before. What are the things that you get approached for that you just say, oh, not this again.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
167,Timothy Simons,"I'm grateful for every opportunity, but I will tell you I have turned down a bunch of offers or auditions for things that are just bad versions of the things that I'm doing already. Like, if there is just too much of a Venn diagram overlap I do somewhat reject it out of hand.",15.616666666666667,"I'm grateful for every opportunity, but I will tell you I have turned down a bunch of offers or auditions for things that are just bad versions of the things that I'm doing already. Like, if there is just too much of a Venn diagram overlap I do somewhat reject it out of hand.",3,3_people_do_be_mean,"['people', 'do', 'be', 'mean', 'think', 'im', 'when', 'like', 'thing', 'feel']","[""The thing that I think that I've sort of struggled with over the last couple years is like where I grew up. I grew up in a really small town. One of the things I didn't like about that is the fact that everybody kinda knows your business, and so when I was a kid all I wanted to do was get to a city and get to anonymity."", ""I think it's a balancing act for me, too. Cause careers, if you celebrate your career in the moment then it feels like you're slowing down. So you're always looking for what's next or what can I do better? Or one of these days, literally, I'm gonna be good. You know, that kind of thinking, you know, as opposed to celebrating, but you also don't wanna be a shmo and not go, thank you, thank you."", ""Than giving a selfie because selfies stop the world. You know, they stop life. You then go like that and it's going on Instagram to give people a false sense of relevance. I picture Steve Jobs sometimes. Everybody's so gaga about Steve Jobs. I picture him in hell running from demons who want a selfie. And that's something I have to kind of live with. Nothing to do with the person that comes up because they're programmed to react to celebrity that way. They don't even think of another way to react.""]",people - do - be - mean - think - im - when - like - thing - feel,0.9994071738724076,False
168,Henry Winkler,Sure.,15.833333333333334,Sure.,10,10_absolutely_bet_blank_halfway,"['absolutely', 'bet', 'blank', 'halfway', 'truthful', 'man', 'through', 'some', 'all', 'im']","['Absolutely.', 'Absolutely.', 'Absolutely.']",absolutely - bet - blank - halfway - truthful - man - through - some - all - im,1.0,False
169,Lacey Rose,Oh here's like a sort of gangly guy who's gonna say sexually inappropriate stuff in an office and he's gonna wear a suit.,15.833333333333334,Oh here's like a sort of gangly guy who's gonna say sexually inappropriate stuff in an office and he's gonna wear a suit.,4,4_secret_service_was_get,"['secret', 'service', 'was', 'get', 'it', 'undercover', 'interview', 'room', 'oj', 'in']","['Yes, and he goes, ""All right, there may be a way ""out of it, but you might get arrested."" So you\'re going into a scene knowing that you\'re trying to work out the percentage of something bad happening. And then we booked another room which was in case we got busted by the Secret Service that I would go to, so his team, I made one slip up. This is the kind of, this is the problem of the stuff that I do which is that you make one mistake and the scene is dead.', 'So it was tragic for me because he was so high up, but Ben Carson literally, his foot was stepping on set and the White House Press Secretary pulled the interview cause I was playing this Finnish unboxing character and I had these kids toys and he said, ""Why have you got all those kids toys?"" I was like, ""You know, we\'re going to do some unboxing."" And he said, ""Unboxing, why?"" And he suddenly realizes that a member of the cabinet is coming in to unbox and he had great instincts, this guy, and pulled it so the Secret Service pulled Ben Carson but then the rest of the Secret Service in the building are alerted to the fact that something\'s happening. And obviously they have to treat it as a serious thing. So I then go to the second room that is booked under a different name.', 'because the first person we interviewed when we got into D.C. was Bernie Sanders. They were concerned, his team actually are great, are great because they immediately called up the channel and they said, ""What\'s going on?"" But the channel didn\'t know that we were making the show so they actually honestly said, well, you know. It\'s fine, they then said, well how do we know this isn\'t a terrorist group that are trying to attack politicians and we might have a congressional hearing. So there was a game of cat and mouse. So I knew I had to kind of stay undercover. Then with Ben Carson we managed to get an interview and that hotel that we picked, there was a problem because there was a conference of other politicians and there was Condoleezza Rice there and a bunch of other kinda high end politicians and the place was full of Secret Service. So me even getting to the room was a kind of huge problem cause there\'s Secret Service. Cause you had to be Sacha with your ID. Well no. You don\'t have present your ID at a hotel, but yes, he came with his own Secret Service, so I\'m in the other room saying, and there were probably about 50, 60 Secret Service there. He comes with two Secret Service, but you know, we\'d made a mistake. We\'d gone to the worst hotel ever to interview him where all these other Secret Service are around to make sure nothing happens.']",secret - service - was - get - it - undercover - interview - room - oj - in,0.41667875242091373,False
170,Timothy Simons,"Like okay, well, I'm doing that already.",15.916666666666666,"Like okay, well, I'm doing that already.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
171,Lacey Rose,And a really good version of that.,15.916666666666666,And a really good version of that.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
172,Timothy Simons,"And also this version of me is not as funny, so like, I'm sure we all try to like",15.916666666666666,"And also this version of me is not as funny, so like, I'm sure we all try to like",6,6_comedy_its_funny_joke,"['comedy', 'its', 'funny', 'joke', 'people', 'because', 'they', 'can', 'about', 'laugh']","[""And Colbert and they're attacking this subject in a comedic way, but I do believe that when it comes down to it and the wolf is at the door there ain't nothing funny about that. And if you give them a joke about it, that's fine. It heals in that moment, but it also is an out for the audience and for the enemy. And the enemy goes, is this a joke? I want people to know how serious I am about the threat that faces us, you know? And if I make it a joke, I can, that's part of it, but if I make it a joke it's not as serious"", ""Yeah, set your career on fire, no, they just push hard and I think they do it because you don't really know where the line is sometimes until you've stepped over it and you go, oh, that was the line, I guess we're over here now. But I think that the protection is always that the joke is always on the people that are saying the line, we're not making fun of the people that are the subject of it. It's that these people are so blind to, they have no self awareness that they are hilarious because they're trying to process this through their prism of blindness, and that's why they are hilarious, you know. They are the people who are the joke. Both of the writers are Jewish and they like to throw in some anti Semitic jokes."", ""Probably things I'd like to play I probably wouldn't be very good at playing, but I don't know, I think something that is, when I was at university, because obviously you're not in a box there, I would play in the amateur dramatic stuff I would play this genre that was called tragedy comedy which is something like Cyrano de Bergerac or even like Fiddler on the Roof. You have the character starts off as really funny, the audience love them, and in the second a tragedy happens and then because the audience love you and are engaged with you more because you've made them laugh they transition really quickly into getting sad and crying. So my eyesight's not very good and I remember playing Cyrano de Bergerac and I didn't know what these white, I'd see bits of white coming up. And I'd go, what are they? And they go, they were tissues. They were starting to cry. But it's a genre that you don't really see much anymore which obviously existed back then which is the idea of funny people who can then, because you've kind of got the audience by the kishkas you can then turn it around and get them crying. So I think something like that would be""]",comedy - its - funny - joke - people - because - they - can - about - laugh,0.38284479524100995,False
173,Ted Danson,I've done several of the parts you turned down.,16.05,I've done several of the parts you turned down.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
174,Timothy Simons,Yeah. ,16.05,Yeah. ,1,1_yeah_ballsy_aw_huh,"['yeah', 'ballsy', 'aw', 'huh', 'man', 'hes', 'guys', 'over', 'look', 'you']","['Yeah, yeah.', 'Yeah.', 'Yeah.']",yeah - ballsy - aw - huh - man - hes - guys - over - look - you,0.8853658164125241,False
175,Lacey Rose," Done well, yes.",16.05," Done well, yes.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
176,Timothy Simons,"You know, I mean there is that thing of like I do, although it does involve saying no to work which I never, ever thought I would be in a position to do. I have tried to be cognizant of it since the beginning of the show, do you know what I mean?",16.15,"You know, I mean there is that thing of like I do, although it does involve saying no to work which I never, ever thought I would be in a position to do. I have tried to be cognizant of it since the beginning of the show, do you know what I mean?",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
177,Henry Winkler,Absolutely.,16.35,Absolutely.,10,10_absolutely_bet_blank_halfway,"['absolutely', 'bet', 'blank', 'halfway', 'truthful', 'man', 'through', 'some', 'all', 'im']","['Absolutely.', 'Absolutely.', 'Absolutely.']",absolutely - bet - blank - halfway - truthful - man - through - some - all - im,1.0,True
178,Sacha Baron Cohen,"I think I went through a period of getting multi character ideas. So there'd be films where, hey Sacha, here's your idea in which you're gonna play 10 characters.  I get 10 characters.",16.35,"I think I went through a period of getting multi character ideas. So there'd be films where, hey Sacha, here's your idea in which you're gonna play 10 characters.  I get 10 characters.",7,7_do_play_love_that,"['do', 'play', 'love', 'that', 'pieces', 'characters', 'lot', 'youre', 'different', 'broken']","[""I love him. I've only taught four or five times, and I have thoroughly enjoyed it. It is written so well that I don't know what to do.  And again, everything is, we are blessed with wonderful writers because if it's not on the page it ain't on the stage. I love the people that I work with. They are an incredible ensemble that make me better. And I just thoroughly love going to work every day."", "" The struggle to maintain your innocence, maintain that wonder and that divine spark in a world that's seemingly cruel and out of control. Also, the grief aspect of it, the how do you keep that together when you've been hit by a freight train? And you know, I have, and I know what that's like. I don't believe that any actor can really do a part unless that part finds them. You don't find parts, they find you when you're ready to do them and when you're informed"", ""I wish that someone had told us about how much of it has to do with that, navigating the business of it and how much you have to do to get to the point where you get to do the thing that you love to do. How to manage your time, how to manage your relationships and your family and how to do all the things that you need to do to stay a whole person while you're trying to continue to give all of that out when you're on a set, you know, it's a lot to do, and I don't think, I think we just take it for granted. We look at it and go, wow, that's so exciting. I wanna play these different people and these different characters and you're like, what's all this other stuff? And it's a lot of other stuff.""]",do - play - love - that - pieces - characters - lot - youre - different - broken,0.8677971113888467,False
179,Jim Carrey,One of them is Eddie Murphy.,16.6,One of them is Eddie Murphy.,7,7_do_play_love_that,"['do', 'play', 'love', 'that', 'pieces', 'characters', 'lot', 'youre', 'different', 'broken']","[""I love him. I've only taught four or five times, and I have thoroughly enjoyed it. It is written so well that I don't know what to do.  And again, everything is, we are blessed with wonderful writers because if it's not on the page it ain't on the stage. I love the people that I work with. They are an incredible ensemble that make me better. And I just thoroughly love going to work every day."", "" The struggle to maintain your innocence, maintain that wonder and that divine spark in a world that's seemingly cruel and out of control. Also, the grief aspect of it, the how do you keep that together when you've been hit by a freight train? And you know, I have, and I know what that's like. I don't believe that any actor can really do a part unless that part finds them. You don't find parts, they find you when you're ready to do them and when you're informed"", ""I wish that someone had told us about how much of it has to do with that, navigating the business of it and how much you have to do to get to the point where you get to do the thing that you love to do. How to manage your time, how to manage your relationships and your family and how to do all the things that you need to do to stay a whole person while you're trying to continue to give all of that out when you're on a set, you know, it's a lot to do, and I don't think, I think we just take it for granted. We look at it and go, wow, that's so exciting. I wanna play these different people and these different characters and you're like, what's all this other stuff? And it's a lot of other stuff.""]",do - play - love - that - pieces - characters - lot - youre - different - broken,0.6907327641575427,False
180,Sacha Baron Cohen,"Yeah, exactly. Okay, this takes a long time. You know, so there was a period where multiple character movies and I think there was no understanding that it takes time, and obviously some of 'em are gonna work and some aren't. And then we've been offered, and at one point I think after Borat, because Borat was the first openly anti Semitic character, that I suddenly started getting Jewish characters as if somehow I was the only Jew in Hollywood. So there was a lot of, you know, will you play this Jewish character or this Jewish character? I think somehow Borat being anti Semitic made me appear that I'd be very good at a Jewish character.",16.6,"Yeah, exactly. Okay, this takes a long time. You know, so there was a period where multiple character movies and I think there was no understanding that it takes time, and obviously some of 'em are gonna work and some aren't. And then we've been offered, and at one point I think after Borat, because Borat was the first openly anti Semitic character, that I suddenly started getting Jewish characters as if somehow I was the only Jew in Hollywood. So there was a lot of, you know, will you play this Jewish character or this Jewish character? I think somehow Borat being anti Semitic made me appear that I'd be very good at a Jewish character.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
181,Henry Winkler,"All of a sudden you were really, really",17.183333333333334,"All of a sudden you were really, really",0,0_was_of_show_said,"['was', 'of', 'show', 'said', 'at', 'years', 'like', 'know', 'he', 'entire']","[""I committed hubris. I thought not that I was great, but that it was such a big show and it was so international. It was everywhere. That I was going to go from mountaintop to mountaintop. I was going to beat the system. I looked down and there were grass stains on the knees of my jeans 'cause I slid right into the valley, it was very difficult to get hired as an actor, and I had no plan B. I was seven years old, I dreamt of doing this thing. I did it and I did it with an explosion. Now it's over and I had no idea how or what to do next."", ""And I'm in front, and I did a cartoon of myself tripping over the ottoman in front of the television, and those are the types of things that keep happening to me. I'm constantly being reminded, oh, I made it. Oh my gosh, that's wonderful. And the first time I think In Living Color was huge, was a huge thing for me and it was like they planted me, you know, my seedling in the garden and I had a chance to bloom on that show. So I got a taste of it there. And that time in Chicago when Siskel and Ebert hated my movie and then Friday happened and it was a giant hit, and the hotel staff where I was staying put a dog bowl in my room with candies in it."", ""Three days before it came out they had the words on a page. And I just looked and it said, the worst movie ever made. Worst actor ever made, this is the end. This is whatever. It was completely original. No one had seen it, so. It was so scathing. I've been disappointed so many times in my career I have an automatic downshift. I go, well, okay, don't know how it's gonna happen, but I'm gonna have to break a basement window or something. And what happened to my just absolute delight was that by the time I had done Truman Show Siskel and Ebert did an entire episode just about me and called it Jim Carrey, Clown With Class. And I get emotional thinking about that. It was incredible, like they just said, we were wrong. And I've never seen a critic say that. But of them said, we were wrong. We didn't know what we were seeing.""]",was - of - show - said - at - years - like - know - he - entire,0.7767692806525944,False
182,Sacha Baron Cohen,"I was Mr. Jewish, yes, yeah, yeah.",17.183333333333334,"I was Mr. Jewish, yes, yeah, yeah.",0,0_was_of_show_said,"['was', 'of', 'show', 'said', 'at', 'years', 'like', 'know', 'he', 'entire']","[""I committed hubris. I thought not that I was great, but that it was such a big show and it was so international. It was everywhere. That I was going to go from mountaintop to mountaintop. I was going to beat the system. I looked down and there were grass stains on the knees of my jeans 'cause I slid right into the valley, it was very difficult to get hired as an actor, and I had no plan B. I was seven years old, I dreamt of doing this thing. I did it and I did it with an explosion. Now it's over and I had no idea how or what to do next."", ""And I'm in front, and I did a cartoon of myself tripping over the ottoman in front of the television, and those are the types of things that keep happening to me. I'm constantly being reminded, oh, I made it. Oh my gosh, that's wonderful. And the first time I think In Living Color was huge, was a huge thing for me and it was like they planted me, you know, my seedling in the garden and I had a chance to bloom on that show. So I got a taste of it there. And that time in Chicago when Siskel and Ebert hated my movie and then Friday happened and it was a giant hit, and the hotel staff where I was staying put a dog bowl in my room with candies in it."", ""Three days before it came out they had the words on a page. And I just looked and it said, the worst movie ever made. Worst actor ever made, this is the end. This is whatever. It was completely original. No one had seen it, so. It was so scathing. I've been disappointed so many times in my career I have an automatic downshift. I go, well, okay, don't know how it's gonna happen, but I'm gonna have to break a basement window or something. And what happened to my just absolute delight was that by the time I had done Truman Show Siskel and Ebert did an entire episode just about me and called it Jim Carrey, Clown With Class. And I get emotional thinking about that. It was incredible, like they just said, we were wrong. And I've never seen a critic say that. But of them said, we were wrong. We didn't know what we were seeing.""]",was - of - show - said - at - years - like - know - he - entire,0.8008859559924412,False
